cpf_cliente,data_hora_solicitacao,limite_atual,novo_limite_solicitado,status_pedido
12345678901,2025-12-01T22:21:15.959070+00:00,15000.0,20000.0,rejeitado
12345678901,2025-12-01T22:22:54.395183+00:00,15000.0,20000.0,rejeitado
12345678901,2025-12-01T22:46:46.176171+00:00,15000.0,17000.0,rejeitado
12345678901,2025-12-01T22:49:21.591730+00:00,15000.0,17000.0,rejeitado
12345678901,2025-12-01T23:00:02.582052+00:00,15000.0,20000.0,rejeitado
12345678901,2025-12-01T23:04:26.083417+00:00,15000.0,18000.0,rejeitado
12345678901,2025-12-01T23:34:11.632432+00:00,15000.0,20000.0,rejeitado
12345678901,2025-12-02T00:05:12.259196+00:00,15000.0,16000.0,rejeitado
12345678901,2025-12-02T00:09:18.092226+00:00,15000.0,16000.0,rejeitado
12345678901,2025-12-02T00:18:16.184284+00:00,15000.0,16000.0,rejeitado
12345678901,2025-12-02T00:23:22.528608+00:00,15000.0,16000.0,rejeitado
12345678901,2025-12-02T00:29:31.515924+00:00,15000.0,15000.0,rejeitado
12345678901,2025-12-02T00:34:16.969851+00:00,15000.0,10000.0,rejeitado
12345678901,2025-12-02T00:58:03.320197+00:00,5000.0,10000.0,aprovado
12345678901,2025-12-02T02:43:00.690182+00:00,10000.0,12000.0,rejeitado
